,FIELDID,NewLat,NewLong
122,up5,42.4497368,-83.3481324
198,up6,42.4270045,-83.3184242
199,up6,42.4270045,-83.3184242
200,upper1,42.400014,-83.286158
201,upper3,42.402933,-83.291902
202,upper4,42.4111,-83.3029
203,upper5,42.4270045,-83.3184242
204,upper5,42.4270045,-83.3184242
205,upper5,42.4270045,-83.3184242
206,upper6,42.43659,-83.32475
123,ur-1,42.4111,-83.3029
124,ur-2,42.401803,-83.310759
125,ur-4,42.400014,-83.286158
126,ur-4,42.400014,-83.286158
127,ur-4,42.400014,-83.286158
128,wall1,42.44957,-83.46525
129,wall1,42.44957,-83.46525
130,wall2,42.46732,-83.46623
131,wall2,42.46732,-83.46623
132,wall3,42.49486,-83.49575
207,wall5,42.478094,-83.476623
208,wall5,42.478094,-83.476623
133,wall7,42.5091535,-83.4956217
142,will1,42.33002,-83.46422
209,will2,42.348115,-83.490179
