OBJECTID,comid,VSEC,StreamName,Diss,Shape_Length,DelisitngLength
283,10849790,LR2,Lower,77,0.09035174,Lower_branch
284,10849792,Headwaters,,,0.003772773,Lower_branch
285,10849794,Headwaters,Lower,77,0.010323236,Lower_branch
286,10849796,Headwaters,Fowler,89,0.00928712,
287,10849798,Headwaters,,,0.023402772,
288,10849800,Headwaters,Lower,77,0.014485563,Lower_branch
289,10849802,Headwaters,Lower,77,0.034560347,Lower_branch
290,10849804,Headwaters,,,0.025860416,
291,10849806,Headwaters,Fowler,89,0.057662674,
292,10849808,Headwaters,,,0.000330879,
293,10849810,Headwaters,Lower,77,0.020130734,Lower_branch
294,10849812,Headwaters,Fowler,89,0.022237748,
295,10849814,Headwaters,,,0.011435822,
296,10849816,Headwaters,,,0.010926988,
297,10849818,Headwaters,,,0.005624272,
298,10849820,Headwaters,,,0.021351807,
299,10849822,Headwaters,,,0.023441804,
300,10849824,Headwaters,,,0.035309088,
301,10849826,Headwaters,,,0.014271492,
302,10849830,Headwaters,,,0.02082111,
303,10849832,Headwaters,,,0.032506134,
304,10849834,Headwaters,,,0.03579256,
305,10849838,Headwaters,,,0.018744567,
306,10849842,Headwaters,,,0.019161385,
307,10849844,Headwaters,,,0.040046404,
308,10849846,Headwaters,,,0.020849648,
309,10849850,Headwaters,,,0.017382124,
310,10849858,Headwaters,,,0.012041847,
311,10849862,Headwaters,,,0.024738561,
312,10849870,Headwaters,,,0.019103186,
313,10849874,Headwaters,,,0.039486093,
314,10850126,Headwaters,Evans,61,0.044763296,
315,10850128,Headwaters,Evans,61,0.026534077,
316,10850130,Headwaters,,,0.049815352,
317,10850132,Headwaters,,,0.035324637,
318,10850134,Headwaters,Johnson,78,0.03110216,
319,10850136,Headwaters,,,0.032714415,
320,10850142,Headwaters,Tonquish,75,0.061361638,
321,10850144,MR3,Main,83,0.078706014,Main_branch
322,10850148,Headwaters,Willow,85,0.073296725,
323,10850150,Headwaters,Fellows,76,0.068990781,
324,10850152,MR3,Main,83,0.049961671,Main_branch
325,10850154,Headwaters,Fellows,76,0.019375873,
326,10850156,DR1/DR2,Middle,82,0.170755524,Middle_branch
327,10850158,Headwaters,Fellows,76,0.014817321,
328,10850160,Headwaters,,,0.05682537,
329,10850162,LR1,Lower,77,0.088205899,Lower_branch
330,10850164,Headwaters,,,0.060268394,
331,10850166,Headwaters,,,0.093522077,
332,10850168,Headwaters,Lower,77,0.035690278,
333,10850170,Headwaters,,,0.050619375,
334,10850172,Headwaters,,,0.011234314,
335,10850174,Headwaters,,,0.011301901,
336,10850176,Headwaters,,,0.027236297,
337,10850178,Headwaters,,,0.04552972,
338,10850180,Headwaters,,,0.026760392,
339,10850182,Headwaters,,,0.072471321,
340,10850210,Headwaters,,,0.001123427,
341,10850212,Headwaters,Middle,82,0.000689638,
342,10850214,Headwaters,,,0.000903126,
343,10850216,Headwaters,Middle,82,0.005269388,
344,10850218,Headwaters,,,0.002738794,
345,10850220,DR2,Middle,82,0.005471517,
346,10850222,DR2,Middle,82,0.008209485,Middle_branch
347,10850224,DR2,Middle,82,0.0038533,Middle_branch
348,10850234,DR2,Middle,82,0.023904032,Middle_branch
349,10850236,DR2,Middle,82,0.009322751,Middle_branch
350,10850238,MR1,Main,83,0.033074308,Main_branch
351,10850296,Headwaters,Middle,82,0.006821436,
352,10850298,Headwaters,,,0.022975543,
353,10850300,DR2,Middle,82,0.00436907,Middle_branch
354,10850302,Headwaters,,,0.000950001,
355,10850304,Headwaters,Middle,82,0.003321645,
356,10850306,Headwaters,,,0.003564323,
357,10850308,Headwaters,,,0.001799764,
358,10850384,MR1,Main,83,0.000557732,Main_branch
359,10850386,MR1,Main,83,0.000751335,Main_branch
360,10850388,MR2,Main,83,0.011053123,Main_branch
361,10850390,MR1,Main,83,0.004735208,Main_branch
362,904090015,Headwaters,,,0.001253943,
363,904090016,Headwaters,,,0.001048696,
