WileySite,FIELD,Notes,COMID
D02,,,10849464
D03,John6,,10850134
D06,MR-15,,10850156
D07,,,10850156
D08,,Lake,
D09,,Lake,
DUS2,MR-8,,10850156
L01,Low9,,10849778
L02,,,10849776
L05,,,10850162
L06,Lr-6,,10849790
LUS1,,,10850162
M01,,,10848472
M03,,,10848472
M10,Main10,,10849728
M12,,usgs ,10849770
M15,MN-1,,10849618
MUS4,,,10849608
MUS5,,,10849484
MUS6,Evan3,,10849456
MUS7,MN-7,MN-7A,10850144
U04,,,10849608
U05,,,10849602
UUS3,Up2,,10849602
