,FIELDID,Year,Common_Name,Quanity,COMID
145,nfowl,1972,largemouth_bass,2,10849780
146,nott,1972,longear_sunfish,2,10848512
147,nott2,1972,pumpkinseed,30,10848512
148,nton,1972,white_sucker,18,10850142
149,peb1,1972,blacknose_dace,2,10848526
150,peb2,1972,brook_stickleback,1,10848526
151,peb3,1972,central_stoneroller,3,10848526
152,peb4,1972,common_shiner,3,10849412
153,peb5,1972,creek_chub,26,10848490
154,rav,1972,green_sunfish,1,10849442
155,see1,1972,largemouth_bass,1,10848516
156,see2,1972,pumpkinseed,2,10849376
157,see3,1972,white_sucker,13,10848516
158,see4,1972,blacknose_dace,7,10848492
159,seebosch,1972,common_carp,10,10849374
160,seesto,1972,common_shiner,1,10848492
161,simpl,1972,creek_chub,17,10848614
162,sprag,1972,fathead_minnow,2,10848422
163,tar2,1972,johnny_darter,1,10849472
164,ton1,1972,largemouth_bass,2,10850142
165,ton1/2,1972,pumpkinseed,6,10850142
166,ton2,1972,white_sucker,46,10850142
167,ton3,1972,bluegill,1,10849700
168,ull,1972,brown_bullhead,1,10848442
169,up1,1972,creek_chub,5,10849602
170,up2,1972,pumpkinseed,5,10849602
171,up3,1972,white_sucker,4,10849602
172,up4,1972,goldfish,2,10849602
173,up5,1972,bluegill,1,10849602
174,up6,1972,fathead_minnow,2,10849602
175,ur-1,1972,green_sunfish,1,10849602
176,ur-2,1972,fathead_minnow,1,10849608
177,ur-3,1972,golden_shiner,2,10849508
178,ur-4,1972,nfc,0,10849602
179,ur-5,1972,brook_stickleback,2,10849548
180,wall0,1972,nfc,0,10849488
181,wall1,1972,fathead_minnow,1,10849464
182,wall2,1972,golden_shiner,1,10849416
183,wall3,1972,goldfish,1,10849382
184,wall4,1972,green_sunfish,1,10850132
185,wall5,1972,largemouth_bass,1,10849382
186,wall6,1972,pumpkinseed,4,10848500
187,wall7,1972,nfc,0,10848510
188,walnutl,1972,blacknose_dace,3,10848618
189,will1,1972,brown_bullhead,1,10849712
190,will2,1972,common_shiner,3,10850148
191,will3,1972,creek_chub,24,10849712
192,wingl,1972,johnny_darter,1,10848476
193,john10,1972,redside_dace,1,10849588
194,main21,1972,white_sucker,14,10849770
195,low14,1972,blacknose_dace,2,10850162
196,fi-1,1972,common_shiner,2,10850390
197,dixavebrigde,1972,creek_chub,3,10850388
198,mn-10dnr,1972,mottled_sculpin,3,10849770
199,lower1,1972,white_sucker,3,10849762
200,lower3,1972,brown_bullhead,1,10849790
201,lower4,1972,common_carp,1,10849794
202,l-1,1972,central_mudminnow,4,10849774
203,dnr13,1972,central_stoneroller,1,10849778
204,dnr3,1972,creek_chub,7,10850156
205,dnr4,1972,northern_redbelly_dace,1,10850156
206,middle1,1972,pumpkinseed,2,10849670
207,md-6,1972,white_sucker,5,10849648
208,newburglake,1972,brook_stickleback,1,10850234
209,wilcoxlake,1972,creek_chub,14,10850224
210,phoenixlake,1972,white_sucker,6,10850222
211,middle4,1972,central_mudminnow,1,10849642
212,middle7,1972,fathead_minnow,111,10850304
213,johnson14,1972,pumpkinseed,2,10850134
214,md-14,1972,black_crappie,3,10849630
215,md-2,1972,bluegill,1,10849464
216,bishopcr9,1972,creek_chub,1,10849434
217,bishopcr10,1972,pumpkinseed,1,10849424
218,md-13,1986,creek_chub,71,10849426
219,md-1,1986,white_sucker,15,10849382
220,u-4,1986,goldfish,1,10849608
221,u-7,1986,common_carp,26,10849532
222,dnr2,1986,green_sunfish,10,10849618
223,upper1,1986,central_mudminnow,30,10849602
224,upper3,1986,common_shiner,56,10849602
225,upper4,1986,central_stoneroller,5,10849602
226,upper5,1986,bluegill,1,10849374
227,dnr1,1986,brook_stickleback,9,10849462
228,mn-3dnr,1986,fathead_minnow,61,10849438
229,upper6,1986,black_bullhead,1,10849378
230,dnr10,1986,northern_redbelly_dace,1,10848526
231,dnr9,1986,creek_chub,27,10848522
232,franklin11,1986,white_sucker,73,10850302
233,mn-2dnr,1986,common_carp,4,10848602
234,mn-7dnr,1986,green_sunfish,11,10848448
235,main7dnr,1986,central_mudminnow,14,10848448
236,main9dnr,1986,common_shiner,4,10848472
237,thorton12,1986,johnny_darter,5,10849466
238,tonquishcreek17,1986,gizzard_shad,1,10849668
239,tonquishcreek19,1986,fathead_minnow,1,10849684
240,tonquishcreek20,1986,brook_stickleback,1,10850148
241,lower9,1986,carpgoldfish_hybrid,14,10849736
242,lower10,1986,pumpkinseed,1,10849708
243,lower11,1986,central_mudminnow,3,10849702
244,main2dnr,1986,fathead_minnow,1,10849618
245,l-7,1986,central_mudminnow,11,10850176
246,md-10,1986,common_carp,14,10849718
247,dnr16,1986,white_sucker,3,10849756
248,dnrnfel,1986,fathead_minnow,1,10849706
249,evan5,1986,goldfish,1,10849456
250,fel4,1986,carpgoldfish_hybrid,3,10849736
251,fowl2,1986,creek_chub,80,10849786
252,fowl4,1986,white_sucker,24,10849812
253,fowl5,1986,central_stoneroller,41,10849784
254,frank1,1986,common_carp,3,10848522
255,frank2,1986,rock_bass,30,10848482
256,john3,1986,pumpkinseed,4,10849522
257,john6,1986,green_sunfish,5,10850134
258,john7,1986,central_stoneroller,113,10849568
259,low11,1986,bluntnose_minnow,13,10849778
260,low4,1986,bluegill,4,10849774
261,low6,1986,largemouth_bass,6,10849810
262,lr-11,1986,fathead_minnow,15,10850162
263,lr-4,1986,hornyhead_chub,36,10849790
264,main10,1986,stonecat,4,10849770
265,main18,1995,bluntnose_minnow,239,10848472
266,main3,1995,common_shiner,245,10848472
267,main6,1995,creek_chub,263,10849438
268,mid1,1995,white_sucker,54,10850296
269,mid2,1995,central_stoneroller,42,10849642
270,mid3,1995,largemouth_bass,23,10849648
271,min2,1995,common_carp,29,10849378
272,mn-4,1995,rock_bass,8,10850152
273,mn-5,1995,stonecat,13,10849484
274,mn-7a,1995,johnny_darter,3,10850152
275,mr-1,1995,green_sunfish,5,10850296
276,mr-17,1995,bluegill,2,10849642
277,mr-18,1995,yellow_bullhead,1,10849622
278,mr-7,1995,spotfin_shiner,1,10850156
279,mr-8,1995,redfin_shiner,5,10850156
280,nfowl,1986,creek_chub,88,10849780
281,peb3,1986,white_sucker,21,10848526
282,peb4,1986,rock_bass,1,10849412
283,see1,1986,pumpkinseed,1,10848516
284,ton3,1986,green_sunfish,2,10849700
285,up2,1986,common_shiner,35,10849602
286,up6,1986,central_stoneroller,8,10849602
287,ur-4,1986,blacknose_dace,2,10849602
288,wall1,1986,blacknose_dace,7,10849464
289,wall2,1986,brook_stickleback,1,10849416
290,wall5,1986,white_sucker,1,10849382
291,md-2,1986,creek_chub,20,10849464
292,bishopcr10,1986,fathead_minnow,1,10849424
293,u-7,1986,green_sunfish,2,10849532
294,upper5,1986,creek_chub,7,10849374
295,dnr9,1986,white_sucker,19,10848522
296,tonquishcreek17,1986,common_shiner,1,10849668
297,evan5,1986,bluntnose_minnow,1,10849456
298,fowl5,1986,fathead_minnow,76,10849784
299,frank1,1986,blacknose_dace,2,10848522
300,main18,1986,black_crappie,3,10848472
301,mid3,1986,bluntnose_minnow,5,10849648
302,ton3,1986,central_mudminnow,1,10849700
303,ur-4,1986,central_stoneroller,1,10849602
304,upper5,1986,channel_catfish,1,10849374
305,bell1,1986,common_carp,14,10849560
306,bell2,1986,white_sucker,34,10849554
307,bell3,1986,creek_chub,24,10849560
308,bell4,1986,fathead_minnow,1,10849564
309,bish2,1986,green_sunfish,34,10849426
310,cl,1986,sunfish_hybrid,2,10849488
311,dnrnfel,1986,johnny_darter,7,10849706
312,evan1,1986,largemouth_bass,3,10848534
313,evan2,1986,northern_hog_sucker,1,10850126
314,evan3,1986,northern_pike,4,10849456
315,evan4,1986,pumpkinseed,8,10849482
316,evan5,1986,rock_bass,3,10849456
317,fel1,1986,yellow_bullhead,2,10849646
318,fel2,1986,creek_chub,52,10849714
319,fel3,1986,white_sucker,28,10849674
320,fel4,1986,common_carp,4,10849736
321,fel5,1986,rock_bass,2,10849704
322,fel6,1986,pumpkinseed,2,10849704
323,fel7,1986,green_sunfish,7,10849676
324,flow2,1986,central_mudminnow,1,10848448
325,fowl1,1986,mottled_sculpin,50,10849730
326,fowl2,1986,common_shiner,2,10849786
327,fowl3,1986,central_stoneroller,5,10849806
328,fowl4,1986,bluntnose_minnow,4,10849812
329,fowl5,1986,rainbow_darter,1,10849784
330,fowl6,1986,blacknose_dace,7,10849730
331,frank1,1986,creek_chub,15,10848522
332,frank2,1986,white_sucker,10,10848482
333,frank3,1986,rock_bass,35,10848616
334,frank4,1986,pumpkinseed,38,10848616
335,frank5,1986,green_sunfish,6,10848458
336,frank6,1986,mottled_sculpin,2,10848468
337,frank7,1986,central_stoneroller,2,10848468
338,frank8,1986,bluntnose_minnow,18,10848616
339,gilbl,1986,bluegill,13,10848462
340,haml,1986,yellow_bullhead,4,10848442
341,ing1,1986,sunfish_hybrid,1,10849424
342,john1,1986,largemouth_bass,2,10849630
343,john2,1986,johnny_darter,4,10849614
344,john3,1986,creek_chub,8,10849522
345,john5,1986,white_sucker,26,10850134
346,john6,1986,rock_bass,46,10850134
347,john7,1986,pumpkinseed,20,10849568
348,john8,1986,bluntnose_minnow,12,10849504
349,john9,1986,bluegill,82,10849630
350,johnrhs,1986,sunfish_hybrid,1,10850134
351,johnswd,1986,largemouth_bass,10,10849598
352,low10,1986,johnny_darter,1,10850168
353,low11,1986,hornyhead_chub,8,10849778
354,low12,1986,longear_sunfish,1,10849774
355,low13,1995,white_sucker,48,10849790
356,low2,1995,creek_chub,133,10849724
357,low3,1995,green_sunfish,73,10849726
358,low4,1995,fathead_minnow,1,10849774
359,low5,1995,johnny_darter,1,10849802
360,low6,1995,central_mudminnow,2,10849810
361,low7,1986,goldfish,18,10849790
362,low8,1986,common_carp,9,10849790
363,low9,1986,white_sucker,6,10849778
364,lr-1,1986,rock_bass,9,10849810
365,lr-10,1986,pumpkinseed,4,10849762
366,lr-11,1986,bluegill,9,10850162
367,lr-11a,1986,largemouth_bass,1,10850162
368,lr-12,1986,longear_sunfish,1,10849800
369,lr-2,1986,creek_chub,11,10850168
370,lr-3,1986,white_sucker,2,10849790
371,lr-4,1986,fathead_minnow,11,10849790
372,lr-5,1986,goldfish,5,10849756
373,lr-6,1986,common_shiner,1,10849790
374,lr-7,1986,common_carp,2,10850182
375,lr-8,1986,creek_chub,2,10849778
376,lr-9,1986,goldfish,6,10850150
377,main1,1995,bluegill,14,10848426
378,main10,1995,golden_shiner,9,10849770
379,main11,1995,brown_bullhead,4,10848598
380,main12,1995,yellow_perch,2,10849770
381,main12n,1995,johnny_darter,7,10849770
382,main13,1995,black_crappie,1,10848472
383,main14,1995,grass_pickerel,1,10850152
384,main15,1995,white_sucker,207,10848472
385,main16,1995,green_sunfish,165,10848450
386,main17,1995,creek_chub,125,10849364
387,main18,1995,pumpkinseed,37,10848472
388,main19,1995,rock_bass,40,10849462
389,main2,1995,bluntnose_minnow,24,10848472
390,main20,1995,largemouth_bass,31,10849728
