,FIELDID,Year,Common_Name,Quanity,COMID
622,fel2,1986,creek_chub,20,10849714
623,fel3,1986,white_sucker,29,10849674
624,fel4,1986,green_sunfish,2,10849736
625,fel5,1986,central_mudminnow,2,10849704
626,fel6,1986,central_stoneroller,1,10849704
627,fel7,1986,bluntnose_minnow,2,10849676
628,flow2,1986,common_shiner,2,10848448
629,fowl1,1986,brook_stickleback,1,10849730
630,fowl2,1986,fathead_minnow,3,10849786
631,fowl3,1995,mottled_sculpin,335,10849806
632,fowl4,1995,central_mudminnow,1,10849812
633,fowl5,1995,white_sucker,33,10849784
634,fowl6,1995,creek_chub,115,10849730
635,frank1,1995,green_sunfish,2,10848522
636,frank2,1995,largemouth_bass,1,10848482
637,frank3,1995,mottled_sculpin,143,10848616
638,frank4,1995,creek_chub,35,10848616
639,frank5,1995,blacknose_dace,22,10848458
640,frank6,1995,white_sucker,4,10848468
641,frank7,1995,central_stoneroller,1,10848468
642,frank8,1995,pumpkinseed,1,10848616
643,gilbl,1995,mottled_sculpin,63,10848462
644,haml,1995,creek_chub,7,10848442
645,ing1,1995,blacknose_dace,9,10849424
646,john1,1995,white_sucker,1,10849630
647,john2,1995,central_stoneroller,1,10849614
648,john3,1995,blacknose_dace,20,10849522
649,john5,1995,central_stoneroller,3,10850134
650,john6,1995,blackchin_shiner,1,10850134
651,john7,1995,brook_stickleback,19,10849568
652,john8,1995,white_sucker,6,10849504
653,john9,1995,creek_chub,66,10849630
654,johnrhs,1995,fathead_minnow,1,10850134
655,johnswd,1995,gizzard_shad,1000,10849598
656,low10,1995,emerald_shiner,1000,10850168
657,low11,1995,common_carp,40,10849778
658,low12,1995,white_sucker,17.5,10849774
659,low13,1995,spotted_sucker,17.5,10849790
660,low2,1995,goldfish,7.5,10849724
661,low3,1995,yellow_perch,7.5,10849726
662,low4,1995,bluegill,7.5,10849774
663,low5,1995,pumpkinseed,7.5,10849802
664,low6,1995,rock_bass,7.5,10849810
665,low7,1995,northern_pike,8,10849790
666,low8,1995,white_perch,2,10849790
667,low9,1995,green_sunfish,1,10849778
668,lr-1,1995,smallmouth_bass,2,10849810
669,lr-10,1995,largemouth_bass,1,10849762
670,lr-11,1995,creek_chub,1,10850162
671,lr-11a,1995,fathead_minnow,1,10850162
672,lr-12,1995,longnose_gar,2,10849800
673,lr-2,1995,steelhead,2,10850168
674,lr-3,1995,common_carp,1,10849790
675,lr-4,1995,gizzard_shad,4,10849790
676,lr-5,1995,white_sucker,5,10849756
677,lr-6,1995,spotted_sucker,1,10849790
678,lr-7,1995,brown_bullhead,1,10850182
679,lr-8,1995,black_bullhead,1,10849778
680,lr-9,1995,white_perch,4,10850150
681,main1,1995,largemouth_bass,3,10848426
682,main10,1995,rock_bass,12,10849770
683,main11,1995,yellow_perch,7,10848598
684,main12,1995,common_shiner,1,10849770
685,main12n,1995,fathead_minnow,2,10849770
686,main13,1995,emerald_shiner,4,10848472
687,main14,1995,pumpkinseed,85,10850152
688,main15,1995,green_sunfish,13,10848472
689,main16,1995,bluegill,4,10848450
690,main17,1995,black_crappie,1,10849364
691,main18,1995,goldfish,8,10848472
692,main19,1995,gizzard_shad,7,10849462
693,main2,1995,white_sucker,19,10848472
694,main20,1995,spotted_sucker,1,10849728
695,main3,1995,largemouth_bass,3,10848472
696,main4,1995,rock_bass,2,10848486
697,main4.5,1995,emerald_shiner,1,10848486
698,main5,1995,pumpkinseed,1,10848602
699,main6,1995,goldfish,3,10849438
700,main7,1995,chinook_salmon,4,10849438
701,main7.5,1995,steelhead,1,10849438
702,main8,1995,brook_silverside,2,10849768
703,main9,1995,muskellunge,1,10849770
704,mid1,1995,creek_chub,136,10850296
705,mid2,1995,mottled_sculpin,75,10849642
706,mid3,1995,common_shiner,12,10849648
707,mid4,1995,blacknose_dace,29,10850234
708,mid5,1995,white_sucker,23,10850156
709,min1,1995,green_sunfish,12,10848506
710,min2,1995,fathead_minnow,3,10849378
711,min3,1995,black_bullhead,2,10848520
712,min3a,1995,redside_dace,2,10849378
713,min4,1995,central_stoneroller,4,10848484
714,min5,1995,northern_hog_sucker,1,10848506
715,mn-1,1995,johnny_darter,2,10849618
716,mn-2,1995,pumpkinseed,1,10849618
717,mn-3,1995,creek_chub,108,10850238
718,mn-4,1995,mottled_sculpin,48,10850152
719,mn-5,1995,common_shiner,33,10849484
720,mn-6,1995,blacknose_dace,18,10849618
721,mn-7,1995,white_sucker,13,10850152
722,mn-7a,1995,green_sunfish,8,10850152
723,mr-1,1995,fathead_minnow,1,10850296
724,mr-10,1995,redside_dace,3,10850156
725,mr-11,1995,central_stoneroller,1,10850156
726,mr-12,1995,northern_hog_sucker,1,10850156
727,mr-13,1995,johnny_darter,5,10850156
728,mr-14,1995,brook_lamprey,1,10850142
729,mr-15,1995,black_bullhead,32,10850156
730,mr-16,1995,largemouth_bass,11,10849658
731,mr-17,1995,bluegill,12,10849642
732,mr-18,1995,green_sunfish,8,10849622
733,mr-19,1995,pumpkinseed,11,10850142
734,mr-2,1995,fathead_minnow,3,10849566
735,mr-20,1995,bluntnose_minnow,1,10849566
736,mr-21,1995,creek_chub,199,10849668
737,mr-22,1995,common_shiner,83,10849504
738,mr-23,1995,johnny_darter,48,10849490
739,mr-24,1995,blacknose_dace,42,10850142
740,mr-25,1995,white_sucker,24,10849514
741,mr-26,1995,mottled_sculpin,26,10849504
742,mr-27,1995,central_stoneroller,54,10849524
743,mr-28,1995,creek_chub,69,10850142
744,mr-2a,1995,common_shiner,29,10849566
745,mr-3,1995,johnny_darter,28,10849642
746,mr-4,1995,blacknose_dace,17,10849648
747,mr-5,1995,white_sucker,15,10850156
748,mr-6,1995,central_stoneroller,14,10850156
749,mr-7,1995,mottled_sculpin,9,10850156
750,mr-8,1995,black_bullhead,8,10850156
751,mr-9,1995,brown_bullhead,1,10850156
752,mur2,1995,largemouth_bass,1,10848594
753,nfowl,1995,bluegill,7,10849780
754,nott,1995,green_sunfish,4,10848512
755,nott2,1995,pumpkinseed,2,10848512
756,nton,1995,redside_dace,2,10850142
757,peb1,1995,common_carp,1,10848526
758,peb2,1995,creek_chub,293,10848526
759,peb3,1995,common_shiner,31,10848526
760,peb4,1995,blacknose_dace,108,10849412
761,peb5,1995,white_sucker,27,10848490
762,rav,1995,fathead_minnow,2,10849442
763,see1,1995,largemouth_bass,1,10848516
764,see2,1995,pumpkinseed,2,10849376
765,see3,1995,green_sunfish,2,10848516
766,see4,1995,creek_chub,84,10848492
767,seebosch,1995,blacknose_dace,28,10849374
768,seesto,1995,common_shiner,15,10848492
769,simpl,1995,white_sucker,12,10848614
770,sprag,1995,largemouth_bass,1,10848422
771,tar2,1995,green_sunfish,1,10849472
772,ton1,1995,pumpkinseed,2,10850142
773,ton1/2,1995,creek_chub,52,10850142
774,ton2,1995,common_shiner,12,10850142
775,ton3,1995,blacknose_dace,14,10849700
776,ull,1995,white_sucker,3,10848442
777,up1,1995,largemouth_bass,1,10849602
778,up2,1995,creek_chub,71,10849602
779,up3,1995,white_sucker,30,10849602
780,up4,1995,green_sunfish,35,10849602
781,up5,1995,bluntnose_minnow,2,10849602
782,up6,1995,common_shiner,2,10849602
783,ur-1,1995,fathead_minnow,1,10849602
784,ur-2,1995,largemouth_bass,2,10849608
785,ur-3,1995,creek_chub,96,10849508
786,ur-4,1995,blacknose_dace,18,10849602
787,ur-5,1995,brook_stickleback,9,10849548
788,wall0,1995,green_sunfish,9,10849488
789,wall1,1995,white_sucker,8,10849464
790,wall2,1995,bluntnose_minnow,6,10849416
791,wall3,1995,central_mudminnow,6,10849382
792,wall4,1995,yellow_perch,1,10850132
793,wall5,1995,pumpkinseed,1,10849382
794,wall6,1995,creek_chub,194,10848500
795,wall7,1995,blacknose_dace,71,10848510
796,walnutl,1995,white_sucker,59,10848618
797,will1,1995,central_mudminnow,29,10849712
798,will2,1995,largemouth_bass,29,10850148
799,will3,1995,pumpkinseed,15,10849712
800,wingl,1995,green_sunfish,11,10848476
801,john10,1995,yellow_perch,10,10849588
802,main21,1995,bluntnose_minnow,9,10849770
803,low14,1995,johnny_darter,8,10850162
804,fi-1,1995,bluegill,1,10850390
805,dixavebrigde,1995,brook_stickleback,1,10850388
806,mn-10dnr,1995,redside_dace,1,10849770
807,lower1,1995,rainbow_darter,4,10849762
808,lower3,1995,johnny_darter,2,10849790
809,lower4,1995,mottled_sculpin,181,10849794
810,l-1,1995,creek_chub,32,10849774
811,dnr13,1995,green_sunfish,27,10849778
812,dnr3,1995,central_mudminnow,36,10850156
813,dnr4,1995,pumpkinseed,8,10850156
814,middle1,1995,common_shiner,1,10849670
815,md-6,1995,northern_redbelly_dace,1,10849648
816,newburglake,1995,white_sucker,16,10850234
817,wilcoxlake,1995,bluegill,6,10850224
818,phoenixlake,1995,largemouth_bass,5,10850222
819,middle4,1995,redside_dace,2,10849642
820,middle7,1995,rainbow_darter,2,10850304
821,johnson14,1995,johnny_darter,10,10850134
822,md-14,1995,brown_bullhead,1,10849630
823,md-2,1995,mottled_sculpin,163,10849464
824,bishopcr9,1995,creek_chub,13,10849434
825,bishopcr10,1995,green_sunfish,20,10849424
826,md-13,1995,central_mudminnow,17,10849426
827,md-1,1995,pumpkinseed,2,10849382
828,u-4,1995,white_sucker,7,10849608
829,u-7,1995,bluegill,4,10849532
830,dnr2,1995,blacknose_dace,13,10849618
831,upper1,1995,rainbow_darter,2,10849602
832,upper3,1995,johnny_darter,2,10849602
833,upper4,1995,brook_stickleback,1,10849602
834,upper5,1995,golden_shiner,2,10849374
835,dnr1,1995,golden_shiner,84,10849462
836,mn-3dnr,1995,brown_trout,1,10849438
837,upper6,1995,bluegill,719,10849378
838,dnr10,1995,pumpkinseed,163,10848526
839,dnr9,1995,largemouth_bass,32,10848522
840,franklin11,1995,rock_bass,3,10850302
841,mn-2dnr,1995,white_sucker,1,10848602
842,mn-7dnr,1995,common_carp,1,10848448
843,main7dnr,1995,golden_shiner,2,10848448
844,main9dnr,1995,black_bullhead,1,10848472
845,thorton12,1995,yellow_perch,1,10849466
846,tonquishcreek17,1995,bluegill,74,10849668
847,tonquishcreek19,1995,pumpkinseed,16,10849684
848,tonquishcreek20,1995,black_crappie,1,10850148
849,lower9,1995,largemouth_bass,1,10849736
850,lower10,1995,rock_bass,1,10849708
851,lower11,1995,bluegill,664,10849702
852,main2dnr,1995,largemouth_bass,20,10849618
853,l-7,1995,black_crappie,241,10850176
854,md-10,1995,white_crappie,2,10849718
855,dnr16,1995,northern_pike,10,10849756
856,dnrnfel,1995,yellow_perch,5,10849706
857,evan5,1995,black_bullhead,8,10849456
858,fel4,1995,yellow_bullhead,2,10849736
859,fowl2,1995,white_sucker,41,10849786
860,fowl4,1995,common_carp,28,10849812
861,fowl5,1995,golden_shiner,80,10849784
862,frank1,1995,pumpkinseed,81,10848522
863,frank2,1995,bluegill,225,10848482
864,john3,1995,pumpkinseed,45,10849522
865,john6,1995,largemouth_bass,20,10850134
866,john7,1995,black_crappie,2,10849568
867,low11,1995,black_bullhead,4,10849778
868,low4,1995,green_sunfish,1,10849774
869,low6,1995,common_carp,9,10849810
870,lr-11,1995,white_sucker,16,10850162
871,lr-4,1995,bluntnose_minnow,6,10849790
872,main10,1995,golden_shiner,11,10849770
873,main18,1995,bluegill,126,10848472
874,main3,1995,pumpkinseed,35,10848472
875,main6,1995,black_crappie,3,10849438
876,mid1,1995,yellow_bullhead,1,10850296
877,mid2,1995,golden_shiner,3,10849642
878,mid3,1995,bluntnose_minnow,3,10849648
879,min2,1995,bluegill,288,10849378
880,mn-4,1995,black_crappie,333,10850152
881,mn-5,1995,white_crappie,2,10849484
882,mn-7a,1995,largemouth_bass,7,10850152
883,mr-1,1995,pumpkinseed,17,10850296
884,mr-17,1995,northern_pike,14,10849642
885,mr-18,1995,yellow_perch,3,10849622
886,mr-7,1995,channel_catfish,1,10850156
887,mr-8,1995,rock_bass,1,10850156
888,nfowl,1995,black_bullhead,9,10849780
889,peb3,1995,brown_bullhead,1,10848526
890,peb4,1995,white_sucker,128,10849412
891,see1,1995,common_shiner,1,10848516
892,ton3,1995,common_carp,24,10849700
893,up2,1995,golden_shiner,14,10849602
894,up6,1995,bluegill,2,10849602
895,ur-4,1995,black_crappie,1,10849602
896,wall1,1995,northern_pike,1,10849464
897,wall2,1995,white_sucker,22,10849416
898,wall5,1995,golden_shiner,1,10849382
899,md-2,1995,pumpkinseed,8,10849464
900,bishopcr10,1995,white_sucker,1,10849424
901,u-7,1995,bluntnose_minnow,4,10849532
902,upper5,1995,creek_chub,115,10849374
903,dnr9,1995,white_sucker,13,10848522
904,tonquishcreek17,1995,common_shiner,9,10849668
905,evan5,1995,largemouth_bass,5,10849456
906,fowl5,1995,green_sunfish,13,10849784
907,frank1,1995,bluegill,1,10848522
908,main18,1995,johnny_darter,3,10848472
909,mid3,1995,central_stoneroller,18,10849648
910,ton3,1995,fathead_minnow,6,10849700
911,ur-4,1995,creek_chub,61,10849602
912,upper5,1995,white_sucker,3,10849374
913,bell1,1995,common_shiner,3,10849560
914,bell2,1995,green_sunfish,7,10849554
915,bell3,1995,johnny_darter,9,10849560
916,bell4,1995,central_stoneroller,4,10849564
917,bish2,1995,fathead_minnow,5,10849426
918,cl,1995,creek_chub,79,10849488
919,dnrnfel,1995,white_sucker,10,10849706
920,evan1,1995,central_mudminnow,46,10848534
921,evan2,1995,green_sunfish,1,10850126
922,evan3,1995,northern_redbelly_dace,9,10849456
923,evan4,1995,brook_stickleback,34,10849482
924,evan5,1995,golden_shiner,4,10849456
925,fel1,1995,bluegill,1,10849646
926,fel2,1995,central_mudminnow,1,10849714
927,fel3,1995,pumpkinseed,1,10849674
928,fel4,1995,creek_chub,45,10849736
929,fel5,1995,common_shiner,28,10849704
930,fel6,1995,green_sunfish,28,10849704
931,fel7,1995,white_sucker,11,10849676
932,flow2,1995,blacknose_dace,11,10848448
933,fowl1,1995,fathead_minnow,4,10849730
934,fowl2,1995,bluntnose_minnow,3,10849786
