"","FIELDID","COMID","DateSampled","TotalFish","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score","Total_score"
"21","johnson14","10850134",1972,83,8,2,1,0,3,50.6024096385542,46.9879518072289,0,30.1204819277108,22.8915662650602,14,14,10,3.08,1.54,2.38,1.19,1.96,0.924,2.66,1.344,39,75,31,72,62,15,3,1,47,1,-1,0,-1,-1,1,1,1,0,-1,0,-1
"22","l-7","10850176",1995,179,6,0,1,1,0,75.9776536312849,75.4189944134078,0,5.58659217877095,19.5530726256983,4,4.8,3.04,0.88,0.44,0.68,0.34,0.56,0.264,0.76,0.384,39,75,31,72,62,15,3,1,47,1,1,-1,1,1,-1,1,1,0,-1,0,2
"23","low14","10850162",1986,19,4,0,1,0,0,21.0526315789474,21.0526315789474,0,0,5.26315789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,-1,-1,-1,-1,NA
"24","low4","10849774",1986,287,13,0,2,1,0,74.5644599303136,71.4285714285714,0,24.7386759581882,26.4808362369338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"25","low4","10849774",1995,76,7,0,2,1,0,94.7368421052632,61.8421052631579,2.63157894736842,2.63157894736842,35.5263157894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,0,0,NA
"26","low6","10849810",1986,141,10,1,1,1,0,95.7446808510638,84.3971631205674,0,54.6099290780142,14.8936170212766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,1,NA
"27","low6","10849810",1995,280,10,1,3,1,0,95.3571428571429,68.9285714285714,0.357142857142857,19.6428571428571,30.7142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"28","lower1","10849762",1972,3,2,0,2,0,0,66.6666666666667,0,0,0,100,45.5,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,-1,1,-1,-1,-5
"29","lower10","10849708",1972,5,2,0,1,1,0,100,60,0,60,40,12,14,10,2.64,1.32,2.04,1.02,1.68,0.792,2.28,1.152,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,0,-1,1,-2
"30","lower3","10849790",1972,5,3,0,1,0,0,100,80,0,0,20,44.1,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-5
