"","Branch","FIELDID","StreamName","Year","DateSampled","Common_Name","Quanity","Length","Final_FIELDID","COMID"
"64","Lower","lower4","LowerBranch4",1972,"June/ July","creek chub",2,"0","lower4","10849794"
"65","Lower","lower4","LowerBranch4",1972,"June/ July","fathead minnow",12,"0","lower4","10849794"
"66","Lower","lower4","LowerBranch4",1972,"June/ July","northern redbelly dace",36,"0","lower4","10849794"
"67","Lower","lower6","LowerBranch6",1972,"June/ July","brook stickleback",1,"0","fowl2","10849786"
"68","Lower","lower6","LowerBranch6",1972,"June/ July","central mudminnow",2,"0","fowl2","10849786"
"69","Lower","lower6","LowerBranch6",1972,"June/ July","creek chub",3,"0","fowl2","10849786"
"70","Lower","lower6","LowerBranch6",1972,"June/ July","fathead minnow",1,"0","fowl2","10849786"
"71","Lower","lower7","LowerBranch7",1972,"June/ July","fathead minnow",1,"0","fowl4","10849812"
"72","Lower","lower8","LowerBranch8",1972,"June/ July","nfc",0,"0","nfowl","10849780"
"73","Lower","lower9","LowerBranch9",1972,"June/ July","brown bullhead",1,"0","will2","10850148"
"74","Lower","lower9","LowerBranch9",1972,"June/ July","fathead minnow",2,"0","will2","10850148"
"75","Lower","lower9","LowerBranch9",1972,"June/ July","green sunfish",2,"0","will2","10850148"
"76","Lower","lower9","LowerBranch9",1972,"June/ July","white sucker",5,"0","will2","10850148"
"77","Main","main1dnr","Main1",1972,"June/ July","nfc",0,"0","mn-4","10850152"
"78","Main","main2dnr","Main2",1972,"June/ July","common carp",2,"0","mn-2","10849618"
"79","Main","main2dnr","Main2",1972,"June/ July","fathead minnow",1,"0","mn-2","10849618"
"80","Main","main3dnr","Main3",1972,"June/ July","common shiner",2,"0","main6","10849438"
"81","Main","main3dnr","Main3",1972,"June/ July","creek chub",3,"0","main6","10849438"
"82","Main","main3dnr","Main3",1972,"June/ July","fathead minnow",5,"0","main6","10849438"
"83","Main","main3dnr","Main3",1972,"June/ July","white sucker",12,"0","main6","10849438"
"84","Main","main4dnr","Main4",1972,"June/ July","bluegill",7,"0","peb4","10849412"
"85","Main","main4dnr","Main4",1972,"June/ July","common carp",1,"0","peb4","10849412"
"86","Main","main4dnr","Main4",1972,"June/ July","common shiner",7,"0","peb4","10849412"
"87","Main","main4dnr","Main4",1972,"June/ July","creek chub",1,"0","peb4","10849412"
"88","Main","main4dnr","Main4",1972,"June/ July","fathead minnow",12,"0","peb4","10849412"
"89","Main","main4dnr","Main4",1972,"June/ July","longear sunfish",3,"0","peb4","10849412"
