"","FIELDID","Orginal_FIELDID","COMID","StreamName","Branch","Year","DateSampled","MDEQ","Common_Name","FinalID","Quanity","Method","Length","Other"
"47","lower10","lower10","10849708","LowerBranch10","Lower",1972,"7/18/72","DNR","white sucker",NA,"3","Electroshocking","0","0"
"48","fel6","lower11","10849704","LowerBranch11","Lower",1972,"7/18/72","DNR","central stoneroller",NA,"5","Electroshocking","0","0"
"49","fel6","lower11","10849704","LowerBranch11","Lower",1972,"7/18/72","DNR","common shiner",NA,"1","Electroshocking","0","0"
"50","fel6","lower11","10849704","LowerBranch11","Lower",1972,"7/18/72","DNR","creek chub",NA,"10","Electroshocking","0","0"
"51","fel6","lower11","10849704","LowerBranch11","Lower",1972,"7/18/72","DNR","mottled sculpin",NA,"5","Electroshocking","0","0"
"52","lr-4","lower2","10849790","LowerBranch2","Lower",1972,"7/18/72","DNR","goldfish",NA,"1","Electroshocking","0","0"
"53","lr-4","lower2","10849790","LowerBranch2","Lower",1972,"7/18/72","DNR","common carp",NA,"4","Electroshocking","0","0"
"54","lr-4","lower2","10849790","LowerBranch2","Lower",1972,"7/18/72","DNR","creek chub",NA,"4","Electroshocking","0","0"
"55","lower3","lower3","10849790","LowerBranch3","Lower",1972,"7/18/72","DNR","creek chub",NA,"1","Electroshocking","0","0"
"56","lower3","lower3","10849790","LowerBranch3","Lower",1972,"7/18/72","DNR","green sunfish",NA,"1","Electroshocking","0","0"
"57","lower3","lower3","10849790","LowerBranch3","Lower",1972,"7/18/72","DNR","fathead minnow",NA,"3","Electroshocking","0","0"
"58","lr-4","lower2","10849790","LowerBranch2","Lower",1972,"7/18/72","DNR","fathead minnow",NA,"3","Electroshocking","0","0"
"59","lr-4","lower2","10849790","LowerBranch2","Lower",1972,"7/18/72","DNR","rock bass",NA,"1","Electroshocking","0","0"
"60","lr-4","lower2","10849790","LowerBranch2","Lower",1972,"7/18/72","DNR","white sucker",NA,"4","Electroshocking","0","0"
"61","lower4","lower4","10849794","LowerBranch4","Lower",1972,"7/18/72","DNR","brook stickleback",NA,"2","Electroshocking","0","0"
"62","lower4","lower4","10849794","LowerBranch4","Lower",1972,"7/18/72","DNR","common carp",NA,"2","Electroshocking","0","0"
"63","lower4","lower4","10849794","LowerBranch4","Lower",1972,"7/18/72","DNR","central stoneroller",NA,"4","Electroshocking","0","0"
"64","lower4","lower4","10849794","LowerBranch4","Lower",1972,"7/18/72","DNR","creek chub",NA,"2","Electroshocking","0","0"
"65","lower4","lower4","10849794","LowerBranch4","Lower",1972,"7/18/72","DNR","fathead minnow",NA,"12","Electroshocking","0","0"
"66","lower4","lower4","10849794","LowerBranch4","Lower",1972,"7/18/72","DNR","northern redbelly dace",NA,"36","Electroshocking","0","0"
"67","fowl2","lower6","10849786","LowerBranch6","Lower",1972,"7/18/72","DNR","brook stickleback",NA,"1","Electroshocking","0","0"
"68","fowl2","lower6","10849786","LowerBranch6","Lower",1972,"7/18/72","DNR","central mudminnow",NA,"2","Electroshocking","0","0"
"69","fowl2","lower6","10849786","LowerBranch6","Lower",1972,"7/18/72","DNR","creek chub",NA,"3","Electroshocking","0","0"
"70","fowl2","lower6","10849786","LowerBranch6","Lower",1972,"7/18/72","DNR","fathead minnow",NA,"1","Electroshocking","0","0"
"71","fowl4","lower7","10849812","LowerBranch7","Lower",1972,"7/18/72","DNR","fathead minnow",NA,"1","Electroshocking","0","0"
"72","nfowl","lower8","10849780","LowerBranch8","Lower",1972,"7/18/72","DNR","nfc",NA,"0","Electroshocking","0","0"
"73","will2","lower9","10850148","LowerBranch9","Lower",1972,"7/18/72","DNR","brown bullhead",NA,"1","Electroshocking","0","0"
"74","will2","lower9","10850148","LowerBranch9","Lower",1972,"7/18/72","DNR","fathead minnow",NA,"2","Electroshocking","0","0"
"75","will2","lower9","10850148","LowerBranch9","Lower",1972,"7/18/72","DNR","green sunfish",NA,"2","Electroshocking","0","0"
"76","will2","lower9","10850148","LowerBranch9","Lower",1972,"7/18/72","DNR","white sucker",NA,"5","Electroshocking","0","0"
"77","mn-4","main1dnr","10850152","Main1","Main",1972,"7/18/72","DNR","nfc",NA,"0","Electroshocking","0","0"
"78","mn-2","main2dnr","10849618","Main2","Main",1972,"7/18/72","DNR","common carp",NA,"2","Electroshocking","0","0"
"79","mn-2","main2dnr","10849618","Main2","Main",1972,"7/18/72","DNR","fathead minnow",NA,"1","Electroshocking","0","0"
"80","main6","main3dnr","10849438","Main3","Main",1972,"7/18/72","DNR","common shiner",NA,"2","Electroshocking","0","0"
"81","main6","main3dnr","10849438","Main3","Main",1972,"7/18/72","DNR","creek chub",NA,"3","Electroshocking","0","0"
"82","main6","main3dnr","10849438","Main3","Main",1972,"7/18/72","DNR","fathead minnow",NA,"5","Electroshocking","0","0"
"83","main6","main3dnr","10849438","Main3","Main",1972,"7/18/72","DNR","white sucker",NA,"12","Electroshocking","0","0"
"84","peb4","main4dnr","10849412","Main4","Main",1972,"7/18/72","DNR","bluegill",NA,"7","Electroshocking","0","0"
"85","peb4","main4dnr","10849412","Main4","Main",1972,"7/18/72","DNR","common carp",NA,"1","Electroshocking","0","0"
"86","peb4","main4dnr","10849412","Main4","Main",1972,"7/18/72","DNR","common shiner",NA,"7","Electroshocking","0","0"
"87","peb4","main4dnr","10849412","Main4","Main",1972,"7/18/72","DNR","creek chub",NA,"1","Electroshocking","0","0"
"88","peb4","main4dnr","10849412","Main4","Main",1972,"7/18/72","DNR","fathead minnow",NA,"12","Electroshocking","0","0"
"89","peb4","main4dnr","10849412","Main4","Main",1972,"7/18/72","DNR","longear sunfish",NA,"3","Electroshocking","0","0"
"90","peb4","main4dnr","10849412","Main4","Main",1972,"7/18/72","DNR","white sucker",NA,"68","Electroshocking","0","0"
"91","dnr9","main5dnr","10848522","Main5","Main",1972,"7/18/72","DNR","blacknose dace",NA,"1","Electroshocking","0","0"
"92","dnr9","main5dnr","10848522","Main5","Main",1972,"7/18/72","DNR","bluegill",NA,"1","Electroshocking","0","0"
"93","dnr9","main5dnr","10848522","Main5","Main",1972,"7/18/72","DNR","creek chub",NA,"6","Electroshocking","0","0"
"94","dnr9","main5dnr","10848522","Main5","Main",1972,"7/18/72","DNR","fathead minnow",NA,"3","Electroshocking","0","0"
"95","dnr9","main5dnr","10848522","Main5","Main",1972,"7/18/72","DNR","goldfish",NA,"5","Electroshocking","0","0"
"96","dnr9","main5dnr","10848522","Main5","Main",1972,"7/18/72","DNR","longear sunfish",NA,"1","Electroshocking","0","0"
"97","dnr9","main5dnr","10848522","Main5","Main",1972,"7/18/72","DNR","pumpkinseed",NA,"1","Electroshocking","0","0"
"98","dnr9","main5dnr","10848522","Main5","Main",1972,"7/18/72","DNR","white sucker",NA,"10","Electroshocking","0","0"
"99","main3","main6dnr","10848472","Main6","Main",1972,"7/18/72","DNR","black crappie",NA,"1","Electroshocking","0","0"
"100","main3","main6dnr","10848472","Main6","Main",1972,"7/18/72","DNR","bluegill",NA,"2","Electroshocking","0","0"
"101","main3","main6dnr","10848472","Main6","Main",1972,"7/18/72","DNR","green sunfish",NA,"2","Electroshocking","0","0"
"102","main3","main6dnr","10848472","Main6","Main",1972,"7/18/72","DNR","largemouth bass",NA,"1","Electroshocking","0","0"
"103","main3","main6dnr","10848472","Main6","Main",1972,"7/18/72","DNR","pumpkinseed",NA,"7","Electroshocking","0","0"
"104","main3","main6dnr","10848472","Main6","Main",1972,"7/18/72","DNR","white sucker",NA,"2","Electroshocking","0","0"
"105","main7dnr","main7dnr","10848472","Main7","Main",1972,"7/18/72","DNR","black crappie",NA,"8","Electroshocking","0","0"
"106","main7dnr","main7dnr","10848472","Main7","Main",1972,"7/18/72","DNR","bluegill",NA,"1","Electroshocking","0","0"
"107","main7dnr","main7dnr","10848472","Main7","Main",1972,"7/18/72","DNR","largemouth bass",NA,"1","Electroshocking","0","0"
"108","main7dnr","main7dnr","10848472","Main7","Main",1972,"7/18/72","DNR","longear sunfish",NA,"2","Electroshocking","0","0"
"109","main7dnr","main7dnr","10848472","Main7","Main",1972,"7/18/72","DNR","pumpkinseed",NA,"3","Electroshocking","0","0"
"110","main7dnr","main7dnr","10848472","Main7","Main",1972,"7/18/72","DNR","white sucker",NA,"3","Electroshocking","0","0"
"111","main18","main8dnr","10848472","Main8","Main",1972,"7/18/72","DNR","black crappie",NA,"2","Electroshocking","0","0"
"112","main18","main8dnr","10848472","Main8","Main",1972,"7/18/72","DNR","central stoneroller",NA,"8","Electroshocking","0","0"
"113","main13","main9dnr","10848472","Main9","Main",1972,"7/18/72","DNR","black crappie",NA,"2","Electroshocking","0","0"
"114","main13","main9dnr","10848472","Main9","Main",1972,"7/18/72","DNR","bluegill",NA,"1","Electroshocking","0","0"
"115","main13","main9dnr","10848472","Main9","Main",1972,"7/18/72","DNR","brook stickleback",NA,"1","Electroshocking","0","0"
"116","main13","main9dnr","10848472","Main9","Main",1972,"7/18/72","DNR","central mudminnow",NA,"10","Electroshocking","0","0"
"117","middle1","middle1","10849670","MiddleBranch1","Middle",1972,"7/29/72","DNR","goldfish",NA,"1","Electroshocking","0","0"
"118","mid3","middle2","10849648","MiddleBranch2","Middle",1972,"7/29/72","DNR","black crappie",NA,"2","Electroshocking","450ft","0"
"119","mid3","middle2","10849648","MiddleBranch2","Middle",1972,"7/29/72","DNR","bluegill",NA,"4","Electroshocking","450ft","0"
"120","mid3","middle2","10849648","MiddleBranch2","Middle",1972,"7/29/72","DNR","brown bullhead",NA,"1","Electroshocking","450ft","0"
"121","mid3","middle2","10849648","MiddleBranch2","Middle",1972,"7/29/72","DNR","common carp",NA,"55","Electroshocking","450ft","0"
"122","mid3","middle2","10849648","MiddleBranch2","Middle",1972,"7/29/72","DNR","fathead minnow",NA,"56","Electroshocking","450ft","0"
"123","mid3","middle2","10849648","MiddleBranch2","Middle",1972,"7/29/72","DNR","goldfish",NA,"2","Electroshocking","450ft","0"
"124","mid3","middle2","10849648","MiddleBranch2","Middle",1972,"7/29/72","DNR","green sunfish",NA,"1","Electroshocking","450ft","0"
"125","mid3","middle2","10849648","MiddleBranch2","Middle",1972,"7/29/72","DNR","pumpkinseed",NA,"55","Electroshocking","450ft","0"
"126","mid3","middle2","10849648","MiddleBranch2","Middle",1972,"7/29/72","DNR","white sucker",NA,"4","Electroshocking","450ft","0"
"127","mid2","middle3","10849642","MiddleBranch3","Middle",1972,"7/29/72","DNR","brown bullhead",NA,"2","Electroshocking","0","0"
"128","mid2","middle3","10849642","MiddleBranch3","Middle",1972,"7/29/72","DNR","creek chub",NA,"1","Electroshocking","0","0"
"129","mid2","middle3","10849642","MiddleBranch3","Middle",1972,"7/29/72","DNR","longear sunfish",NA,"1","Electroshocking","0","0"
"130","mid2","middle3","10849642","MiddleBranch3","Middle",1972,"7/29/72","DNR","pumpkinseed",NA,"23","Electroshocking","0","0"
"131","middle4","middle4","10849642","MiddleBranch4","Middle",1972,"7/29/72","DNR","black crappie",NA,"2","Electroshocking","0","0"
"132","middle4","middle4","10849642","MiddleBranch4","Middle",1972,"7/29/72","DNR","bluegill",NA,"15","Electroshocking","0","0"
"133","middle4","middle4","10849642","MiddleBranch4","Middle",1972,"7/29/72","DNR","brown trout",NA,"1","Electroshocking","0","0"
"134","middle4","middle4","10849642","MiddleBranch4","Middle",1972,"7/29/72","DNR","creek chub",NA,"1","Electroshocking","0","0"
"135","middle4","middle4","10849642","MiddleBranch4","Middle",1972,"7/29/72","DNR","longear sunfish",NA,"2","Electroshocking","0","0"
"136","middle4","middle4","10849642","MiddleBranch4","Middle",1972,"7/29/72","DNR","northern pike",NA,"1","Electroshocking","0","0"
"137","middle4","middle4","10849642","MiddleBranch4","Middle",1972,"7/29/72","DNR","pumpkinseed",NA,"32","Electroshocking","0","0"
"138","mr-18","middle5","10849622","MiddleBranch5","Middle",1972,"7/29/72","DNR","black crappie",NA,"1","Electroshocking","0","0"
"139","mr-18","middle5","10849622","MiddleBranch5","Middle",1972,"7/29/72","DNR","blacknose dace",NA,"12","Electroshocking","0","0"
"140","mr-18","middle5","10849622","MiddleBranch5","Middle",1972,"7/29/72","DNR","bluegill",NA,"3","Electroshocking","0","0"
"141","mr-18","middle5","10849622","MiddleBranch5","Middle",1972,"7/29/72","DNR","brook stickleback",NA,"10","Electroshocking","0","0"
"142","mr-18","middle5","10849622","MiddleBranch5","Middle",1972,"7/29/72","DNR","central stoneroller",NA,"12","Electroshocking","0","0"
"143","mr-18","middle5","10849622","MiddleBranch5","Middle",1972,"7/29/72","DNR","creek chub",NA,"16","Electroshocking","0","0"
"144","mr-18","middle5","10849622","MiddleBranch5","Middle",1972,"7/29/72","DNR","fathead minnow",NA,"18","Electroshocking","0","0"
"145","mr-18","middle5","10849622","MiddleBranch5","Middle",1972,"7/29/72","DNR","largemouth bass",NA,"2","Electroshocking","0","0"
"146","mr-18","middle5","10849622","MiddleBranch5","Middle",1972,"7/29/72","DNR","longear sunfish",NA,"2","Electroshocking","0","0"
"147","mr-18","middle5","10849622","MiddleBranch5","Middle",1972,"7/29/72","DNR","pumpkinseed",NA,"30","Electroshocking","0","0"
"148","mr-18","middle5","10849622","MiddleBranch5","Middle",1972,"7/29/72","DNR","white sucker",NA,"18","Electroshocking","0","0"
"149","mid1","middle6","10850296","MiddleBranch6","Middle",1972,"7/29/72","DNR","blacknose dace",NA,"2","Electroshocking","0","0"
"150","mid1","middle6","10850296","MiddleBranch6","Middle",1972,"7/29/72","DNR","brook stickleback",NA,"1","Electroshocking","0","0"
"151","mid1","middle6","10850296","MiddleBranch6","Middle",1972,"7/29/72","DNR","central stoneroller",NA,"3","Electroshocking","0","0"
"152","mid1","middle6","10850296","MiddleBranch6","Middle",1972,"7/29/72","DNR","common shiner",NA,"3","Electroshocking","0","0"
"153","mid1","middle6","10850296","MiddleBranch6","Middle",1972,"7/29/72","DNR","creek chub",NA,"26","Electroshocking","0","0"
"154","mid1","middle6","10850296","MiddleBranch6","Middle",1972,"7/29/72","DNR","green sunfish",NA,"1","Electroshocking","0","0"
"155","mid1","middle6","10850296","MiddleBranch6","Middle",1972,"7/29/72","DNR","largemouth bass",NA,"1","Electroshocking","0","0"
"156","mid1","middle6","10850296","MiddleBranch6","Middle",1972,"7/29/72","DNR","pumpkinseed",NA,"2","Electroshocking","0","0"
"157","mid1","middle6","10850296","MiddleBranch6","Middle",1972,"7/29/72","DNR","white sucker",NA,"13","Electroshocking","0","0"
"158","middle7","middle7","10850304","MiddleBranch7","Middle",1972,"7/29/72","DNR","blacknose dace",NA,"7","Electroshocking","0","0"
"159","middle7","middle7","10850304","MiddleBranch7","Middle",1972,"7/29/72","DNR","common carp",NA,"10","Electroshocking","0","0"
"160","middle7","middle7","10850304","MiddleBranch7","Middle",1972,"7/29/72","DNR","common shiner",NA,"1","Electroshocking","0","0"
"161","middle7","middle7","10850304","MiddleBranch7","Middle",1972,"7/29/72","DNR","creek chub",NA,"17","Electroshocking","0","0"
"162","middle7","middle7","10850304","MiddleBranch7","Middle",1972,"7/29/72","DNR","fathead minnow",NA,"2","Electroshocking","0","0"
"163","middle7","middle7","10850304","MiddleBranch7","Middle",1972,"7/29/72","DNR","johnny darter",NA,"1","Electroshocking","0","0"
"164","middle7","middle7","10850304","MiddleBranch7","Middle",1972,"7/29/72","DNR","largemouth bass",NA,"2","Electroshocking","0","0"
"165","middle7","middle7","10850304","MiddleBranch7","Middle",1972,"7/29/72","DNR","pumpkinseed",NA,"6","Electroshocking","0","0"
"166","middle7","middle7","10850304","MiddleBranch7","Middle",1972,"7/29/72","DNR","white sucker",NA,"46","Electroshocking","0","0"
"167","thorton12","thorton12","10849466","Thorton12","Middle",1972,"7/29/72","DNR","bluegill",NA,"1","Electroshocking","0","0"
