"","FIELDID","COMID","year","month","Method","TotalFish","Total_score","FinalScore","Intreptation","Branch","StreamName"
"65","mn-7dnr","10848448",1995,"7","Shocking",138,-6,-6,"poor","Main","Quarton Branch"
"66","mr-1","10850296",1986,"7","Shocking",165,0,0,"neutral","Middle","Middle Rouge"
"67","mr-1","10850296",1995,"7","Shocking",253,0,0,"neutral","Middle","Middle Rouge"
"68","mr-18","10849622",1972,"7","Shocking",124,0,0,"neutral","Middle","Middle Rouge"
"69","mr-4","10849648",1986,"7","Shocking",150,0,0,"neutral","Middle","Middle Rouge"
"70","mr-7","10850156",1986,"7","Shocking",13,0,-12,"poorlowfish","Middle","Middle Rouge"
"71","mr-8","10850156",1986,"7","Shocking",32,0,-12,"poorlowfish","Middle","Middle Rouge"
"72","mr-8","10850156",1995,"7","Shocking",11,0,-12,"poorlowfish","Middle","Middle Rouge"
"73","nfowl","10849780",1972,"7","Shocking",0,0,-12,"poorlowfish","Lower","Fowler Creek"
"74","peb3","10848526",1995,"7","Shocking",116,0,0,"neutral","Main","Pebble Creek"
"75","peb4","10849412",1972,"7","Shocking",99,0,0,"neutral","Main","Pebble Creek"
"76","thorton12","10849466",1972,"7","Shocking",16,2,-12,"poorlowfish","Main","Walled Lk Drainage"
"77","ton3","10849700",1972,"7","Shocking",3,0,-12,"poorlowfish","Middle","Tonquish Creek"
"78","ton3","10849700",1995,"7","Shocking",137,0,0,"neutral","Middle","Tonquish Creek"
"79","tonquishcreek17","10849668",1972,"7","Shocking",2,-6,-12,"poorlowfish","Middle","Tonquish Creek"
"80","tonquishcreek17","10849668",1986,"7","Shocking",106,-5,-5,"poor","Middle","Tonquish Creek"
"81","tonquishcreek17","10849668",1995,"7","Shocking",125,0,0,"neutral","Middle","Tonquish Creek"
"82","tonquishcreek19","10849684",1972,"7","Shocking",1,-6,-12,"poorlowfish","Middle","Tonquish Creek"
"83","tonquishcreek20","10850148",1972,"7","Shocking",3,0,-12,"poorlowfish","Middle","Willow Creek"
"84","u-4","10849608",1986,"7","Shocking",62,-4,-4,"poor","Upper","Bell Branch"
"85","u-4","10849608",1995,"7","Shocking",230,-2,-2,"acceptable:negative","Upper","Bell Branch"
"86","u-7","10849532",1972,"7","Shocking",21,-4,-12,"poorlowfish","Upper","Tarabusi Creek"
"87","u-7","10849532",1995,"7","Shocking",466,-2,-2,"acceptable:negative","Upper","Tarabusi Creek"
"88","up2","10849602",1986,"7","Shocking",213,0,0,"neutral","Upper","Upper Rouge"
"89","up2","10849602",1995,"7","Shocking",460,0,0,"neutral","Upper","Upper Rouge"
"90","up6","10849602",1972,"7","Shocking",9,0,-12,"poorlowfish","Upper","Upper Rouge"
"91","up6","10849602",1986,"7","Shocking",40,0,-12,"poorlowfish","Upper","Upper Rouge"
"92","upper1","10849602",1972,"7","Shocking",0,0,-12,"poorlowfish","Upper","Upper Rouge"
"93","upper3","10849602",1972,"7","Shocking",0,0,-12,"poorlowfish","Upper","Upper Rouge"
"94","upper4","10849602",1972,"7","Shocking",47,-5,-12,"poorlowfish","Upper","Upper Rouge"
"95","upper5","10849374",1972,"7","Shocking",13,-1,-12,"poorlowfish","Upper","Upper Rouge"
"96","upper5","10849374",1995,"7","Shocking",108,1,1,"acceptable:postive","Upper","Upper Rouge"
"97","upper6","10849378",1972,"7","Shocking",22,-5,-12,"poorlowfish","Upper","Upper Rouge"
"98","ur-4","10849602",1986,"7","Shocking",42,0,-12,"poorlowfish","Upper","Upper Rouge"
"99","ur-4","10849602",1995,"7","Shocking",58,0,0,"neutral","Upper","Upper Rouge"
"100","wall1","10849464",1972,"7","Shocking",2,0,-12,"poorlowfish","Middle","Walled Lk Drainage"
"101","wall2","10849416",1972,"7","Shocking",114,0,0,"neutral","Middle","Walled Lk Drainage"
"102","wall5","10849382",1986,"7","Shocking",25,0,-12,"poorlowfish","Middle","Walled Lk Drainage"
"103","wall5","10849382",1995,"7","Shocking",25,0,-12,"poorlowfish","Middle","Walled Lk Drainage"
"104","will2","10850148",1972,"7","Shocking",10,0,-12,"poorlowfish","Middle","Willow Creek"
