"","COMID","FIELDID","combined_final_width"
"208","10850304","middle7",11
"209","10850134","johnson14",14
"210","10849630","md-14",10
"211","10849464","md-2",12
"212","10849434","bishopcr9",4
"213","10849424","bishopcr10",5.5
"214","10849426","md-13",7
"215","10849608","u-4",22
"216","10849532","u-7",12.2913388
"217","10849618","dnr2",27.4222222222222
"218","10849602","upper1",26.7716544
"219","10849602","upper3",26.7716544
"220","10849602","upper4",26.7716544
"221","10849374","upper5",9.823491
"222","10849462","dnr1",28.5
"223","10849438","mn-3dnr",33.1
"224","10849378","upper6",15.9776908
"225","10848526","dnr10",15.3666666666667
"226","10848522","dnr9",14.15
"227","10850302","franklin11",20.5380584
"228","10848602","mn-2dnr",20.7333333333333
"229","10848448","mn-7dnr",11
"230","10848472","main7dnr",19.3095238095238
"231","10849466","thorton12",4
"232","10849668","tonquishcreek17",22.4350398
"233","10849684","tonquishcreek19",16.7979008
"234","10850148","tonquishcreek20",NA
"235","10849708","lower10",12
"236","10849704","fel6",9
"237","10850176","l-7",4
"238","10849718","md-10",12
"239","10849756","dnr16",18.5666666666667
"240","10849484","mn-5",23.7166666666667
"241","10849642","middle3",20
