,FIELDID,DNRName,COMID
238,tonquishcreek17,md-11,10849668
239,tonquishcreek19,NA,10849684
240,tonquishcreek20,NA,10850148
242,lower10,lower10,10849708
243,fel6,lower11,10849704
244,mn-2,mn-2,10849618
245,l-7,NA,10850176
246,md-10,NA,10849718
247,dnr16,NA,10849756
248,dnrnfel,NA,10849706
249,evan5,mn-5dnr,10849456
250,fel4,NA,10849736
251,fowl2,NA,10849786
252,fowl4,NA,10849812
253,fowl5,dnr14,10849784
254,frank1,franklin12,10848522
255,frank2,frank2,10848482
256,john3,NA,10849522
257,john6,NA,10850134
258,john7,NA,10849568
259,low11,NA,10849778
261,low6,NA,10849810
262,lr-11,NA,10850162
263,lr-4,NA,10849790
264,main10,NA,10849770
265,main18,mn-1dnr,10848472
266,main3,NA,10848472
267,main6,NA,10849438
268,mid1,NA,10850296
269,mid2,NA,10849642
270,mid3,middle2,10849648
271,min2,NA,10849378
272,mn-4,NA,10850152
273,mn-5,NA,10849484
274,mn-7a,NA,10850152
275,mr-1,NA,10850296
276,mr-17,NA,10849642
277,mr-18,NA,10849622
278,mr-7,NA,10850156
279,mr-8,NA,10850156
280,nfowl,NA,10849780
281,peb3,NA,10848526
282,peb4,NA,10849412
283,see1,NA,10848516
284,ton3,md-9,10849700
285,up2,NA,10849602
286,up6,NA,10849602
287,ur-4,u-3,10849602
288,wall1,NA,10849464
289,wall2,NA,10849416
290,wall5,NA,10849382
291,md-2,NA,10849464
292,bishopcr10,NA,10849424
293,u-7,NA,10849532
294,upper5,dnr12,10849374
295,dnr9,NA,10848522
296,tonquishcreek17,NA,10849668
297,evan5,NA,10849456
298,fowl5,NA,10849784
299,frank1,NA,10848522
300,main18,NA,10848472
301,mid3,NA,10849648
302,ton3,NA,10849700
303,ur-4,NA,10849602
304,upper5,mqed1,10849374
